Subject;Predicate;Object
item/Book;dcterms:subject;person/Joseph Merrick
item/Book;dcterms:language;language/English
item/Book;schema:character;person/Miss Leila Maturin
item/Book;rdf:type;bibo:Book
item/Book;dcterms:title;"The elephant man and other reminiscences"
item/Book;dcterms:publisher;person/Cassell&Co
item/Book;schema:datePublished;1923/02
item/Book;crm:P62 depicts;item/Artifact
item/Book;schema:character;person/Tom Norman
item/Book;dcterms:creator;person/Frederick Treves
item/Book;fabio:hasPlaceOfPublication;place/London 
item/Book;owl:sameAs;wd:Q65988906
