SUBJECT;PREDICATE;OBJECT 
person/Bernard Pomerance;rdf:type;foaf:Person
person/Bernard Pomerance;owl:sameAs;http://viaf.org/viaf/299041559
person/Samuel French;rdf:type;schema:Organization
person/Samuel French;owl:sameAs;http://viaf.org/viaf/315661188
concept/genre/Biographical Drama;rdf:type;dbo:Genre
concept/genre/Biographical Drama;skos:broader;dbo:Drama
organization/Royal London Hospital Museum;rdf:type;schema:Hospital
organization/Royal London Hospital Museum;owl:sameAs;https://www.wikidata.org/wiki/Q7374421
organization/Royal London Hospital Museum;dbo:residence;place/London
person/Mastodon;rdf:type;mo:MusicGroup
person/Mastodon;owl:sameAs;https://www.wikidata.org/wiki/Q548844
concept/genre/Progressive Metal;rdf:type;dbo:Genre
person/Matt Bayles;rdf:type;foaf:Person
person/Matt Bayles;owl:sameAs;http://viaf.org/viaf/5676165271705110690006
organizatio/Cassell&Co;rdf:type;schema:Organization
organizatio/Cassell&Co;owl:sameAs;https://www.wikidata.org/wiki/Q5049289
place/London;rdf:type;schema:City
place/London;skos:broader;place/England
place/London;owl:sameAs;https://www.geonames.org/2643743/london.html
place/England;rdf:type;schema:Country
place/England;owl:sameAs;https://www.geonames.org/countries/GB/united-kingdom.html
person/Frederick Treves;rdf:type;foaf:Person
person/Frederick Treves;owl:sameAs;http://viaf.org/viaf/51811649
person/Frederick Treves;schema:worksFor;place/Hospital
person/Frederick Treves;dcterms:temporal;time/Victorian Era
person/Frederick Treves;dbo:residence;place/London
person/Frederick Treves;schema:MedicalProcedure;person/King Edward VII
person/Frederick Treves;cwrc:visits;place/Penny Gaff
time/Victorian Era;rdf:type;gndo:HistoricSingleEventOrEra
time/Victorian Era;owl:sameAs;https://www.wikidata.org/wiki/Q182688
person/King Edward VII;rdf:type;foaf:Person
person/King Edward VII;owl:sameAs;https://www.wikidata.org/wiki/Q20875
place/Penny Gaff;rdf:type;schema:Place
place/Penny Gaff;foaf:based_near;place/Hospital
place/Penny Gaff;frbr:owner;person/Tom Norman
person/Tom Norman;rdf:type;foaf:Person
person/Tom Norman;owl:sameAs;http://viaf.org/viaf/121792319
organization/National Health Service;rdf:type;frapo:GovernmentOrganization
person/unknown;rdf:type;foaf:Person
organization/The Record Office;skos:broader;schema:Organization
organization/The Record Office;rdf:type;schema:ArchiveOrganization
organization/The Record Office;owl:sameAs;http://viaf.org/viaf/152695429
person/John Hurt;rdf:type;foaf:Person
person/John Hurt;schema:character;person/Joseph Merrick
person/John Hurt;owl:sameAs;http://viaf.org/viaf/196522
person/Anne Bancroft;rdf:type;foaf:Person
person/Anne Bancroft;schema:character;person/Madge Kendal
person/Anne Bancroft;owl:sameAs;http://viaf.org/viaf/7573085
person/Madge Kendal;rdf:type;foaf:Person
person/Madge Kendal;owl:sameAs;http://viaf.org/viaf/58041265
person/Anthony Hopkins;rdf:type;foaf:Person
person/Anthony Hopkins;schema:character;person/Frederick Treves
person/Anthony Hopkins;owl:sameAs;http://viaf.org/viaf/2662788
person/David Lynch;rdf:type;foaf:Person
person/David Lynch;owl:sameAs;http://viaf.org/viaf/164455045
concept/genre/Drama;rdf:type;dbo:Genre
concept/genre/Biographical;rdf:type;dbo:Genre
organization/Brooks Film;rdf:type;schema:Organization
organization/Brooks Film;owl:sameAs;https://www.wikidata.org/wiki/Q2926174
place/United States of America;rdf:type;schema:Country
place/United States of America;owl:sameAs;https://www.geonames.org/countries/US/united-states.html
